"longitude (degree: E+, W-)","latitude (degree: N+, S-)",Level 3p (pieces/km2),Level 3w1 (g/km2),Level 3w2 (g/km2)
,,-9999: No data,,
-47.5,-83,-9999,-9999,-9999
-42.5,-83,-9999,-9999,-9999
-37.5,-83,-9999,-9999,-9999
-32.5,-83,-9999,-9999,-9999
-27.5,-83,-9999,-9999,-9999
-22.5,-83,-9999,-9999,-9999
-17.5,-83,-9999,-9999,-9999
-12.5,-83,-9999,-9999,-9999
-7.5,-83,-9999,-9999,-9999
-2.5,-83,-9999,-9999,-9999
2.5,-83,-9999,-9999,-9999
7.5,-83,-9999,-9999,-9999
12.5,-83,-9999,-9999,-9999
17.5,-83,-9999,-9999,-9999
22.5,-83,-9999,-9999,-9999
27.5,-83,-9999,-9999,-9999
32.5,-83,-9999,-9999,-9999
37.5,-83,-9999,-9999,-9999
42.5,-83,-9999,-9999,-9999
47.5,-83,-9999,-9999,-9999
52.5,-83,-9999,-9999,-9999
57.5,-83,-9999,-9999,-9999
62.5,-83,-9999,-9999,-9999
67.5,-83,-9999,-9999,-9999
72.5,-83,-9999,-9999,-9999
77.5,-83,-9999,-9999,-9999
82.5,-83,-9999,-9999,-9999
87.5,-83,-9999,-9999,-9999
92.5,-83,-9999,-9999,-9999
97.5,-83,-9999,-9999,-9999
102.5,-83,-9999,-9999,-9999
107.5,-83,-9999,-9999,-9999
112.5,-83,-9999,-9999,-9999
117.5,-83,-9999,-9999,-9999
122.5,-83,-9999,-9999,-9999
127.5,-83,-9999,-9999,-9999
132.5,-83,-9999,-9999,-9999
137.5,-83,-9999,-9999,-9999
142.5,-83,-9999,-9999,-9999
147.5,-83,-9999,-9999,-9999
152.5,-83,-9999,-9999,-9999
157.5,-83,-9999,-9999,-9999
162.5,-83,-9999,-9999,-9999
167.5,-83,-9999,-9999,-9999
172.5,-83,-9999,-9999,-9999
177.5,-83,-9999,-9999,-9999
-177.5,-81,-9999,-9999,-9999
-172.5,-81,-9999,-9999,-9999
-167.5,-81,-9999,-9999,-9999
-162.5,-81,-9999,-9999,-9999
-157.5,-81,-9999,-9999,-9999
-152.5,-81,-9999,-9999,-9999
-147.5,-81,-9999,-9999,-9999
-142.5,-81,-9999,-9999,-9999
-137.5,-81,-9999,-9999,-9999
-132.5,-81,-9999,-9999,-9999
-127.5,-81,-9999,-9999,-9999
-122.5,-81,-9999,-9999,-9999
-117.5,-81,-9999,-9999,-9999
-112.5,-81,-9999,-9999,-9999
-107.5,-81,-9999,-9999,-9999
-102.5,-81,-9999,-9999,-9999
-97.5,-81,-9999,-9999,-9999
-92.5,-81,-9999,-9999,-9999
-87.5,-81,-9999,-9999,-9999
-82.5,-81,-9999,-9999,-9999
-77.5,-81,-9999,-9999,-9999
-72.5,-81,-9999,-9999,-9999
-67.5,-81,-9999,-9999,-9999
-62.5,-81,-9999,-9999,-9999
-57.5,-81,-9999,-9999,-9999
-52.5,-81,-9999,-9999,-9999
-47.5,-81,-9999,-9999,-9999
-42.5,-81,-9999,-9999,-9999
-37.5,-81,-9999,-9999,-9999
-32.5,-81,-9999,-9999,-9999
-27.5,-81,-9999,-9999,-9999
-22.5,-81,-9999,-9999,-9999
-17.5,-81,-9999,-9999,-9999
-12.5,-81,-9999,-9999,-9999
-7.5,-81,-9999,-9999,-9999
-2.5,-81,-9999,-9999,-9999
2.5,-81,-9999,-9999,-9999
7.5,-81,-9999,-9999,-9999
12.5,-81,-9999,-9999,-9999
17.5,-81,-9999,-9999,-9999
22.5,-81,-9999,-9999,-9999
27.5,-81,-9999,-9999,-9999
32.5,-81,-9999,-9999,-9999
37.5,-81,-9999,-9999,-9999
42.5,-81,-9999,-9999,-9999
47.5,-81,-9999,-9999,-9999
52.5,-81,-9999,-9999,-9999
57.5,-81,-9999,-9999,-9999
62.5,-81,-9999,-9999,-9999
67.5,-81,-9999,-9999,-9999
72.5,-81,-9999,-9999,-9999
77.5,-81,-9999,-9999,-9999
82.5,-81,-9999,-9999,-9999
87.5,-81,-9999,-9999,-9999
92.5,-81,-9999,-9999,-9999
97.5,-81,-9999,-9999,-9999
102.5,-81,-9999,-9999,-9999
107.5,-81,-9999,-9999,-9999
112.5,-81,-9999,-9999,-9999
117.5,-81,-9999,-9999,-9999
122.5,-81,-9999,-9999,-9999
127.5,-81,-9999,-9999,-9999
132.5,-81,-9999,-9999,-9999
137.5,-81,-9999,-9999,-9999
142.5,-81,-9999,-9999,-9999
147.5,-81,-9999,-9999,-9999
152.5,-81,-9999,-9999,-9999
157.5,-81,-9999,-9999,-9999
162.5,-81,-9999,-9999,-9999
167.5,-81,-9999,-9999,-9999
172.5,-81,-9999,-9999,-9999
177.5,-81,-9999,-9999,-9999
-177.5,-79,-9999,-9999,-9999
-172.5,-79,-9999,-9999,-9999
-167.5,-79,-9999,-9999,-9999
-162.5,-79,-9999,-9999,-9999
-157.5,-79,-9999,-9999,-9999
-152.5,-79,-9999,-9999,-9999
-147.5,-79,-9999,-9999,-9999
-142.5,-79,-9999,-9999,-9999
-137.5,-79,-9999,-9999,-9999
-132.5,-79,-9999,-9999,-9999
-127.5,-79,-9999,-9999,-9999
-122.5,-79,-9999,-9999,-9999
-117.5,-79,-9999,-9999,-9999
-112.5,-79,-9999,-9999,-9999
-107.5,-79,-9999,-9999,-9999
-102.5,-79,-9999,-9999,-9999
-97.5,-79,-9999,-9999,-9999
-92.5,-79,-9999,-9999,-9999
-87.5,-79,-9999,-9999,-9999
-82.5,-79,-9999,-9999,-9999
-77.5,-79,-9999,-9999,-9999
-72.5,-79,-9999,-9999,-9999
-67.5,-79,-9999,-9999,-9999
-62.5,-79,-9999,-9999,-9999
-57.5,-79,-9999,-9999,-9999
-52.5,-79,-9999,-9999,-9999
-47.5,-79,-9999,-9999,-9999
-42.5,-79,-9999,-9999,-9999
-37.5,-79,-9999,-9999,-9999
-32.5,-79,-9999,-9999,-9999
