,,Level 3wm (mg/m3),-9999: No data,,,,,,,,,,
2.5,-37,0.996,1.193,1.374,1.208,0.59,0.417,0.5,0.444,0.578,0.992,1.045,1.059
7.5,-37,0.739,0.824,0.905,0.933,0.493,0.317,0.393,0.349,0.426,0.734,0.698,0.769
12.5,-37,0.592,0.644,0.654,0.654,0.474,0.286,0.36,0.323,0.383,0.548,0.491,0.572
17.5,-37,0.743,0.708,0.73,0.924,0.616,0.286,0.363,0.358,0.412,0.677,0.607,0.698
22.5,-37,1.098,1.104,0.944,1.228,0.461,0.211,0.266,0.309,0.351,1.002,0.784,0.992
27.5,-37,5.975,3.081,3.643,7.55,1.485,0.625,0.75,1.041,1.123,13.261,2.777,4.723
32.5,-37,10.472,4.348,6.429,5.876,1.437,0.679,0.754,1.11,1.161,4.287,3.387,5.664
37.5,-37,6.06,4.299,7.344,2.648,1.135,0.531,0.529,0.798,0.835,2.297,1.715,2.493
42.5,-37,2.34,1.185,1.847,0.93,0.367,0.181,0.18,0.276,0.244,0.589,0.502,0.66
47.5,-37,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
52.5,-37,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
57.5,-37,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
62.5,-37,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
67.5,-37,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
72.5,-37,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
77.5,-37,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
82.5,-37,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
87.5,-37,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
92.5,-37,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
97.5,-37,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
102.5,-37,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
107.5,-37,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
112.5,-37,0.051,0.052,0.052,0.046,0.028,0.022,0.015,0.015,0.015,0.028,0.055,0.046
117.5,-37,0.153,0.123,0.167,0.141,0.06,0.04,0.028,0.029,0.029,0.063,0.218,0.134
122.5,-37,0.305,0.158,0.456,0.124,0.052,0.038,0.028,0.032,0.031,0.069,3.35,0.205
127.5,-37,0.293,0.224,0.478,0.19,0.075,0.057,0.04,0.044,0.045,0.09,0.695,0.282
132.5,-37,0.292,0.253,0.421,0.684,0.222,0.151,0.108,0.105,0.122,0.245,0.443,0.381
137.5,-37,0.255,0.227,0.32,0.684,0.372,0.229,0.158,0.159,0.195,0.31,0.335,0.31
142.5,-37,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
147.5,-37,0.93,1.296,1.233,2.328,0.242,0.388,0.224,0.362,0.417,0.564,0.71,1.335
152.5,-37,1.085,0.795,2.667,0.914,0.339,0.355,0.292,0.341,0.442,0.725,3.875,6.732
157.5,-37,1.083,0.827,1.323,0.783,0.34,0.384,0.299,0.307,0.399,0.493,1.852,1.788
162.5,-37,0.569,0.295,0.371,0.263,0.117,0.141,0.126,0.108,0.135,0.142,0.291,0.584
167.5,-37,0.082,0.046,0.052,0.041,0.018,0.017,0.024,0.016,0.019,0.017,0.024,0.052
172.5,-37,0.034,0.04,0.032,0.042,0.015,0.012,0.02,0.014,0.014,0.01,0.015,0.026
177.5,-37,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-177.5,-35,0.173,0.08,0.101,0.126,0.084,0.063,0.073,0.071,0.094,0.077,0.127,0.442
-172.5,-35,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-167.5,-35,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-162.5,-35,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-157.5,-35,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-152.5,-35,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-147.5,-35,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-142.5,-35,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-137.5,-35,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-132.5,-35,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-127.5,-35,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-122.5,-35,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-117.5,-35,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-112.5,-35,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-107.5,-35,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-102.5,-35,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-97.5,-35,0.174,0.268,0.125,0.086,0.033,0.028,0.031,0.026,0.044,0.048,0.093,0.158
-92.5,-35,0.118,0.123,0.103,0.093,0.035,0.028,0.032,0.027,0.053,0.047,0.084,0.112
-87.5,-35,0.739,0.525,0.747,0.639,0.349,0.272,0.307,0.271,0.499,0.465,0.609,0.657
-82.5,-35,0.927,0.714,1.003,0.966,0.96,0.674,0.757,0.726,0.982,0.956,0.972,0.924
-77.5,-35,0.587,0.514,0.586,0.697,1.317,0.945,0.936,0.96,0.75,0.72,0.593,0.588
-72.5,-35,0.347,0.376,0.369,0.459,1.164,1.868,1.421,0.897,0.508,0.387,0.309,0.338
-67.5,-35,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-62.5,-35,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-57.5,-35,0.424,0.532,0.48,2.888,2.061,1.158,1.709,1.785,0.61,0.535,0.444,0.52
-52.5,-35,1.056,1.071,1.48,2.067,1.038,0.62,0.795,2.082,3.019,1.5,1.648,1.924
-47.5,-35,2.02,2.063,2.192,3.182,2.06,0.725,0.867,1.933,9.835,2.192,3.326,2.976
-42.5,-35,5.543,3.957,5.564,3.594,2.143,1.097,1.273,2.183,6.059,9.263,23.34,8.727
-37.5,-35,4.817,4.434,7.291,2.805,1.597,0.885,0.968,1.538,2.7,78.095,5.942,5.868
-32.5,-35,3.674,4.076,11.957,1.796,0.934,0.624,0.667,0.829,1.425,4.982,2.577,2.234
-27.5,-35,4.226,5.671,16.416,2.441,1.119,0.802,0.833,0.9,1.547,3.522,2.539,2.169
-22.5,-35,4.23,5.352,9.327,2.702,1.303,0.959,0.991,0.979,1.656,3.301,2.754,2.407
-17.5,-35,3.564,5.443,6.513,2.577,1.376,0.984,1.079,0.984,1.525,2.601,2.669,2.393
-12.5,-35,3.578,5.812,6.367,2.904,1.427,1.024,1.174,1.003,1.544,2.57,3,2.689
-7.5,-35,3.096,4.278,4.953,2.429,1.078,0.856,1.002,0.844,1.289,2.242,2.733,2.39
-2.5,-35,1.703,2.168,3.073,2.353,0.742,0.548,0.643,0.549,0.852,1.538,1.779,1.567
2.5,-35,1.876,2.338,2.888,3.219,0.94,0.631,0.851,0.682,0.975,1.87,1.926,1.976
7.5,-35,1.451,1.53,1.637,1.941,1.104,0.705,0.935,0.757,1.003,1.531,1.395,1.612
12.5,-35,0.617,0.588,0.594,0.656,0.795,0.507,0.637,0.543,0.607,0.563,0.561,0.593
17.5,-35,0.455,0.436,0.488,0.676,1.478,0.551,0.842,0.672,0.803,0.541,0.522,0.464
22.5,-35,1.49,1.49,1.791,4.568,1.222,0.573,0.714,0.747,1.002,2.268,1.704,1.698
27.5,-35,2.231,1.968,2.495,8.981,2.532,1,1.359,2.104,3.494,2.979,3.135,2.379
32.5,-35,4.025,2.755,3.433,6.511,2.551,1.244,1.494,2.087,4.143,4.209,10.39,5.693
37.5,-35,3.031,2.363,3.143,10.771,2.662,1.031,1.125,1.578,1.966,4.764,7.422,7.182
42.5,-35,1.382,0.95,1.308,3.601,1.369,0.527,0.61,0.786,0.728,10.24,2.995,13.854
47.5,-35,0.667,0.481,0.607,1.534,0.872,0.304,0.32,0.446,0.382,7.247,1.297,4.491
52.5,-35,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
57.5,-35,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
62.5,-35,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
67.5,-35,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
72.5,-35,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
77.5,-35,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
82.5,-35,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
87.5,-35,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
92.5,-35,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
97.5,-35,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
102.5,-35,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
107.5,-35,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
112.5,-35,0.027,0.026,0.028,0.047,0.038,0.025,0.017,0.018,0.018,0.033,0.038,0.028
117.5,-35,0.056,0.06,0.075,0.172,0.06,0.1,0.03,0.052,0.053,0.075,0.087,0.074
122.5,-35,0.054,0.049,0.063,0.2,0.071,0.038,0.026,0.033,0.039,0.199,0.079,0.073
127.5,-35,0.075,0.069,0.096,0.346,0.11,0.063,0.042,0.052,0.061,0.206,0.112,0.109
132.5,-35,0.141,0.131,0.19,0.53,0.345,0.18,0.114,0.13,0.171,0.325,0.208,0.19
137.5,-35,0.232,0.213,0.245,0.57,0.904,0.444,0.22,0.261,0.345,0.442,0.27,0.273
142.5,-35,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
147.5,-35,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
152.5,-35,0.366,0.358,0.565,0.663,0.324,0.266,0.234,0.307,0.539,3.777,0.735,0.577
157.5,-35,0.538,0.423,0.596,0.617,0.355,0.381,0.274,0.307,0.421,0.596,3.243,2.125
162.5,-35,0.191,0.136,0.172,0.192,0.119,0.138,0.104,0.098,0.128,0.164,0.552,1.617
167.5,-35,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
172.5,-35,0.08,0.06,0.061,0.085,0.047,0.038,0.049,0.039,0.042,0.037,0.052,0.126
177.5,-35,0.221,0.099,0.12,0.211,0.114,0.079,0.088,0.089,0.094,0.079,0.119,0.281
-177.5,-33,0.224,0.146,0.173,0.213,0.343,0.227,0.216,0.207,0.418,0.325,0.693,0.548
-172.5,-33,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-167.5,-33,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-162.5,-33,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-157.5,-33,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-152.5,-33,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-147.5,-33,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-142.5,-33,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-137.5,-33,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-132.5,-33,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-127.5,-33,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-122.5,-33,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-117.5,-33,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-112.5,-33,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-107.5,-33,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-102.5,-33,28.385,13.822,30.608,20.488,5.055,4.537,4.67,4.299,6.635,12.1,103.153,36.701
-97.5,-33,8.479,5.315,11.934,21.418,2.351,2.037,2.495,1.917,3.908,5.342,23.379,12.74
-92.5,-33,0.201,0.12,0.224,0.473,0.078,0.071,0.092,0.067,0.164,0.156,0.419,0.209
-87.5,-33,0.19,0.129,0.205,0.224,0.15,0.119,0.145,0.121,0.232,0.207,0.236,0.186
-82.5,-33,0.472,0.374,0.483,0.55,0.756,0.505,0.575,0.557,0.594,0.557,0.495,0.496
-77.5,-33,0.402,0.361,0.389,0.444,0.794,0.671,0.605,0.606,0.468,0.453,0.381,0.393
-72.5,-33,0.237,0.253,0.237,0.252,0.442,0.549,0.411,0.366,0.256,0.229,0.197,0.225
-67.5,-33,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-62.5,-33,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-57.5,-33,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-52.5,-33,0.452,0.539,0.455,3.533,1.155,0.674,0.819,11.272,0.812,0.515,0.466,0.482
-47.5,-33,0.997,1.042,1.083,6.633,3.479,0.869,1.012,1.697,1.536,1.024,1.255,1.317
-42.5,-33,2.281,2.188,2.488,5.933,2.775,1.257,1.444,2.636,4.611,2.709,5.537,4.061
-37.5,-33,2.746,2.712,3.245,5.846,2.226,1.164,1.138,1.897,4.678,6.274,7.756,5.167
-32.5,-33,3.724,3.749,5.182,6.692,1.867,1.087,1.122,1.537,3.058,16.014,5.519,3.731
-27.5,-33,7.293,7.763,8.255,11.583,2.798,1.841,1.947,2.22,4.019,14.09,5.526,4.811
-22.5,-33,7.802,8.638,11.116,7.946,2.63,1.713,1.781,1.791,3.183,7.412,4.832,4.502
-17.5,-33,5.662,10.642,10.877,4.017,1.793,1.246,1.43,1.229,2.123,4.557,3.49,3.232
-12.5,-33,9.225,68.992,16.728,6.262,2.521,1.921,2.098,1.724,2.863,5.728,6.672,5.232
-7.5,-33,8.954,20.883,17.863,5.353,1.836,1.47,1.841,1.394,2.289,5.561,7.483,4.79
-2.5,-33,8.246,8.569,18.741,29.047,2.213,1.523,2.006,1.415,2.58,8.524,9.14,7.39
2.5,-33,7.947,7.327,7.045,10.498,4.879,3.071,4.612,2.949,5.075,9.174,7.52,9.556
7.5,-33,2.446,2.329,2.286,2.726,3.367,2.275,3.007,2.256,2.611,2.544,2.391,2.773
12.5,-33,0.876,0.859,0.873,1.052,1.884,1.735,1.568,1.386,1.234,0.901,0.876,0.92
17.5,-33,0.699,0.778,0.859,1.191,3.8,2.253,2.344,1.34,0.916,0.749,0.667,0.714
22.5,-33,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
27.5,-33,1.303,1.97,2.428,13.889,3.466,1.117,2.459,4.242,3.488,2.13,1.941,1.468
32.5,-33,1.947,1.738,2.006,3.086,3.517,1.923,2.611,2.191,5.43,2.013,2.72,2.2
37.5,-33,1.521,1.27,1.564,2.429,4.223,1.648,2.197,1.899,2.736,1.751,2.907,2.081
42.5,-33,0.647,0.525,0.651,0.981,2.111,1.264,2.45,1.164,1.49,0.937,1.839,1.097
47.5,-33,0.384,0.307,0.379,0.49,1.351,0.835,1.055,0.564,0.765,0.731,1.383,0.725
52.5,-33,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
57.5,-33,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
62.5,-33,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
67.5,-33,2.628,1.732,1.885,2.77,2.876,1.31,1.647,1.893,1.87,5.092,4.866,9.471
72.5,-33,3.579,2.339,2.415,3.784,2.57,1.407,1.518,1.839,1.851,5.397,5.018,12.117
77.5,-33,5.464,3.448,3.495,5.202,2.842,1.718,1.806,1.915,2.081,5.312,6.047,19.895
82.5,-33,8.555,4.458,4.6,8.216,3.531,2.042,1.963,2.055,2.268,5.914,7.742,31.273
87.5,-33,5.152,3.158,3.124,4.818,2.152,1.371,1.113,1.19,1.346,3.1,4.46,22.557
92.5,-33,2.731,1.744,1.739,2.746,1.277,0.822,0.593,0.623,0.695,1.607,2.575,4.507
97.5,-33,1.052,0.897,0.871,1.414,0.843,0.5,0.349,0.363,0.396,0.861,1.302,1.487
102.5,-33,0.463,0.407,0.425,0.748,0.571,0.37,0.232,0.247,0.25,0.485,0.666,0.539
107.5,-33,0.202,0.188,0.198,0.336,0.407,0.271,0.168,0.167,0.164,0.258,0.28,0.219
112.5,-33,0.071,0.074,0.08,0.129,0.235,0.144,0.089,0.092,0.081,0.102,0.097,0.076
117.5,-33,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
122.5,-33,0.09,0.103,0.134,0.234,0.234,0.283,0.094,0.206,0.288,0.386,0.1,0.125
127.5,-33,0.037,0.035,0.043,0.076,0.322,0.081,0.054,0.094,0.157,0.076,0.048,0.045
132.5,-33,0.078,0.074,0.096,0.178,1.068,0.203,0.127,0.176,0.256,0.145,0.103,0.097
137.5,-33,0.252,0.267,0.346,0.722,1.258,0.993,0.321,0.466,0.503,0.465,0.28,0.301
142.5,-33,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
147.5,-33,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
152.5,-33,0.704,0.716,0.962,1.524,0.846,0.632,0.546,0.785,1.441,3.964,1.183,0.957
157.5,-33,0.475,0.384,0.472,0.55,0.506,0.49,0.328,0.426,0.573,1.195,1.143,1.087
162.5,-33,0.371,0.277,0.319,0.388,0.418,0.463,0.295,0.328,0.418,0.766,2.306,1.168
167.5,-33,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
172.5,-33,0.154,0.117,0.12,0.17,0.21,0.157,0.139,0.135,0.162,0.173,0.23,0.455
177.5,-33,0.276,0.186,0.205,0.302,0.444,0.272,0.252,0.265,0.358,0.336,0.539,1.32
-177.5,-31,0.165,0.128,0.144,0.168,0.375,0.351,0.251,0.277,0.914,0.763,1.032,0.275
-172.5,-31,0.085,0.068,0.073,0.081,0.197,0.148,0.115,0.133,0.843,0.565,0.499,0.125
-167.5,-31,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-162.5,-31,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-157.5,-31,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-152.5,-31,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-147.5,-31,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-142.5,-31,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-137.5,-31,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-132.5,-31,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-127.5,-31,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-122.5,-31,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-117.5,-31,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-112.5,-31,4.273,3.361,3.817,5.731,5.724,6.625,3.442,3.547,5.977,7.898,3.904,3.902
-107.5,-31,6.749,5.284,5.889,9.728,6.296,6.843,4.988,4.863,8.44,19.885,7.352,6.476
-102.5,-31,8.099,6.067,7.529,11.059,6.843,7.337,6.971,5.937,13.375,26.919,9.843,8.231
-97.5,-31,4.535,3.45,4.639,7.512,3.978,4.236,5.56,3.932,21.369,30.951,7.047,4.66
-92.5,-31,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-87.5,-31,0.058,0.046,0.064,0.071,0.124,0.087,0.119,0.095,0.096,0.092,0.073,0.063
-82.5,-31,0.018,0.016,0.018,0.02,0.045,0.029,0.028,0.028,0.023,0.021,0.019,0.019
-77.5,-31,0.14,0.129,0.131,0.139,0.232,0.202,0.175,0.174,0.137,0.139,0.125,0.133
-72.5,-31,0.048,0.049,0.045,0.046,0.067,0.066,0.056,0.052,0.042,0.041,0.038,0.045
-67.5,-31,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-62.5,-31,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-57.5,-31,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-52.5,-31,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-47.5,-31,0.255,0.286,0.301,0.725,3.291,0.342,0.376,0.335,0.352,0.257,0.284,0.291
-42.5,-31,0.87,0.888,0.976,5.054,2.869,1.142,1.199,1.628,1.451,1,1.241,1.183
-37.5,-31,1.655,1.735,1.921,17.926,3.463,1.483,1.428,2.192,3.016,2.302,2.324,2.49
-32.5,-31,2.82,2.872,3.403,13.321,3.886,1.792,1.783,2.583,6.479,5.418,4.228,2.93
-27.5,-31,6.296,6.585,5.996,19.866,5.375,2.984,3.355,4.296,10.297,10.388,5.941,5.651
-22.5,-31,6.216,6.067,5.585,12.084,4.224,2.543,2.704,2.912,6.313,8.466,4.271,4.939
-17.5,-31,10.581,9.228,6.884,8.769,4.427,3.202,3.603,2.885,6.291,9.184,6.368,6.72
-12.5,-31,38.65,18.036,14.187,15.181,7.174,6.33,7.697,5.443,10.909,17.621,16.99,17.314
-7.5,-31,41.528,15.987,14.912,15.379,8.078,7.056,11.001,6.187,15.776,34.715,39.408,32.124
-2.5,-31,12.685,9.885,10.138,12.844,11.379,6.858,13.868,5.728,14.096,19.762,15.111,29.152
2.5,-31,7.297,6.541,5.883,6.598,16.216,10.168,11.905,7.501,11.454,8.288,6.947,8.691
7.5,-31,2.453,2.373,2.283,2.509,5.426,4.932,3.815,3.991,3.293,2.472,2.437,2.728
12.5,-31,0.789,0.806,0.84,0.96,1.66,1.812,1.325,1.394,1.116,0.839,0.813,0.843
17.5,-31,0.788,0.862,1.086,1.161,2.489,2.417,1.76,1.697,0.737,0.844,0.638,0.682
22.5,-31,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
27.5,-31,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
32.5,-31,0.998,0.982,1.123,1.541,1.926,2.304,2.078,1.182,1.249,0.891,1.185,1.058
37.5,-31,0.589,0.579,0.631,0.903,1.574,2.573,2.456,1.299,1.156,0.709,1.044,0.861
42.5,-31,0.321,0.284,0.32,0.43,0.635,1.449,0.734,0.568,0.704,0.392,0.579,0.458
47.5,-31,0.194,0.159,0.185,0.217,0.335,0.716,0.401,0.25,0.35,0.268,0.338,0.274
52.5,-31,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
57.5,-31,1.5,1.125,1.239,1.499,3.491,8.085,6.374,4.505,5.175,3.557,4.989,2.818
62.5,-31,2.998,2.301,2.347,2.809,6.174,7.007,9.872,14.316,35.821,11.21,15.186,6.56
67.5,-31,3.927,2.858,2.948,3.469,7.562,5.738,8.063,9.158,19.528,18.407,26.062,8.477
72.5,-31,3.831,2.838,2.947,3.462,7.535,4.561,4.949,5.635,9.12,11.592,31.668,7.491
77.5,-31,4.848,3.651,3.574,4.677,8.349,4.798,4.803,4.92,7.658,19.474,81.004,9.901
82.5,-31,5.643,4.227,4.094,5.561,9.754,5.419,4.996,5.121,7.181,14.952,69.32,9.77
87.5,-31,4.51,3.471,3.148,4.379,7.719,4.23,3.16,3.327,4.132,8.104,59.159,6.972
92.5,-31,2.223,1.761,1.575,2.271,4.122,2.178,1.375,1.471,1.83,3.442,7.033,3.058
97.5,-31,0.962,0.813,0.773,1.204,2.575,1.303,0.759,0.792,0.843,1.419,1.728,1.205
102.5,-31,0.681,0.626,0.622,1.05,1.703,1.378,0.749,0.808,0.716,1.055,1.086,0.783
107.5,-31,1.535,1.499,1.572,2.571,4.526,4.233,2.474,2.357,2.056,2.211,2.162,1.655
112.5,-31,1.799,1.947,2.101,2.96,6.172,7.669,4.234,3.641,2.64,2.401,2.333,1.883
117.5,-31,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
122.5,-31,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
127.5,-31,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
132.5,-31,0.07,0.063,0.091,0.161,0.288,0.652,0.124,0.475,0.227,0.22,0.086,0.094
137.5,-31,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
142.5,-31,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
147.5,-31,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
152.5,-31,0.523,0.527,0.579,0.717,0.523,0.468,0.476,0.778,1.47,1.272,0.716,0.798
157.5,-31,0.569,0.427,0.469,0.543,0.658,0.758,0.524,0.814,1.211,2.669,1.129,1.025
162.5,-31,0.254,0.194,0.2,0.251,0.364,0.519,0.289,0.38,0.614,4.492,0.686,0.568
167.5,-31,0.142,0.117,0.116,0.156,0.292,0.29,0.198,0.204,0.415,0.777,0.341,0.302
172.5,-31,0.146,0.122,0.117,0.165,0.349,0.278,0.231,0.223,0.365,0.408,0.333,0.292
177.5,-31,0.203,0.165,0.168,0.228,0.512,0.403,0.307,0.355,0.606,0.655,0.688,0.388
